variant_id,sequence,station_id,processing_time,predecessor_stations
SEDAN,1,SUB-L,12,
SEDAN,1,SUB-R,12,
SEDAN,2,UND,18,SUB-L;SUB-R
SEDAN,3,MAIN,20,UND
SEDAN,4,RESPOT,15,MAIN
SEDAN,5,FINISH,10,RESPOT
SEDAN,6,INSP,6,FINISH
SUV,1,SUB-L,15,
SUV,1,SUB-R,15,
SUV,2,UND,22,SUB-L;SUB-R
SUV,3,MAIN,25,UND
SUV,4,CROSS,12,MAIN
SUV,5,RESPOT,18,CROSS
SUV,6,FINISH,12,RESPOT
SUV,7,INSP,8,FINISH
UTE,1,SUB-L,14,
UTE,1,SUB-R,14,
UTE,2,UND,20,SUB-L;SUB-R
UTE,3,MAIN,22,UND
UTE,4,TRAY,15,MAIN
UTE,5,RESPOT,16,TRAY
UTE,6,FINISH,11,RESPOT
UTE,7,INSP,7,FINISH
